image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A0412A0>,is the right lung normal in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1792A041330>,is there a cyst in the right kidney?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A0413C0>,what is the plane of this image?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1792A041450>,is there involvement of the temporal lobes?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=305x427 at 0x1792A0414E0>,are the brain ventricles visible?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041570>,is there fluid in the anterior abdominal wall?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041600>,are the lateral ventricles compressed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A041690>,is the gallbladder large in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A041720>,is this a cyst in the left lung?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A0417B0>,what is happening with the path of the trachea?,it is shifted to the right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A041840>,is the stomach dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=318x391 at 0x1792A0418D0>,where are the enlarged feeding arteries located?,occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A041960>,is the right kidney at its normal height in the abdomen?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A0419F0>,is this an infiltrating mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x910 at 0x1792A041A80>,is the renal mass distending the abdominal wall?,a bit
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1792A041B10>,is it contrast these hyperintensities in the intestines?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041BA0>,what is the hypodensity in the posterior left?,the posterior horn of the left lateral ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041C30>,what is this mass to the left of the patient?,the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x1792A041CC0>,is this a mri of the chest?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A041D50>,is the gallbladder distended?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1792A041DE0>,is there lesion to other structures besides the medulla?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x1792A041E70>,what are these hyperintensities to the right?,infarcted areas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=360x437 at 0x1792A041F00>,are there any other cysts in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A041F90>,is there any lesion in the left kidney,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x1792A042020>,are there multiple masses or just a single big one?,just one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A0420B0>,are the kidneys atrophied?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A042140>,what are these hypodensities in the liver?,fat accumulations
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=360x437 at 0x1792A0421D0>,in which lobe is the cyst?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=296x336 at 0x1792A042260>,is it possible to see the cerebellum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1792A0422F0>,is this a ct image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x1792A042380>,are there >8 ribs shown in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A042410>,how do we call these wide undulations along the vertebral column?,scoliosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=762x630 at 0x1792A0424A0>,to which side is the trachea deviated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x1792A042530>,is the left kidney affected?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x1792A0425C0>,is the brain atrophied or shrunk?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1792A042650>,are there fractures on the skull?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1792A0426E0>,is there any lesion to bone structures?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1792A042770>,is the heart a normal size?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1792A042800>,is the heart size normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1792A042890>,can a pulmonary mass be appreciated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1792A042920>,is a pulmonary mass present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x1792A0429B0>,are there at least 8 ribs visible for good inspiratory effort?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1792A042A40>,is this a solid or cystic lesion?,solid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1792A042AD0>,is the lesion a solid or cystic lesion?,solid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1792A042B60>,is this in the pa plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1792A042BF0>,is there anything abnormal about the heart size?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1792A042C80>,is the heart enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x1792A042D10>,is this patient male or female?,female
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x1792A042DA0>,what is the likely sex of this patient?,female
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1792A042E30>,is the cerebellum present in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1792A042EC0>,can this image highlight bone fractures (if present)?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1792A042F50>,can you appreciate a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x1792A042FE0>,is this an image of the cerebellum,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1792A043070>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1792A043100>,do you see a subdural hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1792A043190>,is there a subdural hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1792A043220>,approximately how much time was required to obtain this image?,10-20 minutes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1792A0432B0>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1792A043340>,is the heart size increased?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A0433D0>,is this a ring enhancing lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A043460>,is there ring-enhancement?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A0434F0>,are the dark areas grey or white matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A043580>,the dark areas of the image show what type of brain matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1792A043610>,is this a transverse section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1792A0436A0>,which ventricles are visible?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1792A043730>,is there a fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1792A0437C0>,is a fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1792A043850>,is this image sufficient for a diagnosis?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1792A0438E0>,is the image enough to diagnose?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x1792A043970>,would you suspect abcess or cancer for this finding?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x1792A043A00>,is this an abscess or cancer?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1792A043A90>,what are the dark areas at the top of the picture?,large bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1792A043B20>,what is the dark space in the body cavity near the top of the image?,large bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1792A043BB0>,is there a right-sided pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1311 at 0x1792A043C40>,is the patient's vertebral body indicative of normal aging?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1792A043CD0>,is there an effusion present on the right-side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1792A043D60>,do you see a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1792A043DF0>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A043E80>,are sections of bowel recognizable?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1792A043F10>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1792A043FA0>,is there a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x17951A44070>,is the heart size abnormal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x17951A44100>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x17951A44190>,what can be typically visualized in this plane?,lungs 	bony thoracic cavit y	mediastinum and great vessels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x17951A44220>,in what space/cavity is the abnormal organ located?,retroperitoneum; retroperitoneal space
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1311 at 0x17951A442B0>,any observed degenerative changes in the vertebral body?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A44340>,is the patient lying down?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x17951A443D0>,how long does this imaging modality take to complete? (hours?	minutes?),~15 minutes	potentially faster with newer imaging systems
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x17951A44460>,can you evaluate the kidneys 	bladde r	or ureters in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x17951A444F0>,can you appreciate a shift of the midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x17951A44580>,is there a midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x17951A44610>,can you diagnose a pericardial effusion from this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x17951A446A0>,is this image sufficient to diagnose pericardial effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x17951A44730>,can a diagnosis or impression be made in this plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A447C0>,would perform this same modality in a patient with aki?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A44850>,are abdominal fat pads prominently visualized?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A448E0>,is there evidence of herniation of the small bowel into the abdominal wall?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A44970>,can you see the abdominal fat pads?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x17951A44A00>,is there a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x17951A44A90>,is there a pleural effusion,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x17951A44B20>,did this patient sustain physical damage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x17951A44BB0>,do you suspect a physical injury?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x17951A44C40>,can you see all of the ribs on the left side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x17951A44CD0>,can the left ribs be evaluated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x17951A44D60>,can you appreciate a pleural effusion anywhere?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x17951A44DF0>,is pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A44E80>,are adrenal glands present in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A44F10>,is there evidence of an abdominal hernia?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A44FA0>,can you see the adrenals?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x17951A45030>,did the problem originate in the brain?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x17951A450C0>,do you suspect a primary brain process?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x17951A45150>,does the left humerus appear to be fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x17951A451E0>,is there a fracture of the left humerus?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x17951A45270>,can this plane detect an aortic aneurysm 	if present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x17951A45300>,can a diagnosis of appendicitis be made from this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x17951A45390>,is this confirmed appendicitis?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x17951A45420>,are both lungs abnormally inflated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x17951A454B0>,can you visualize the 4th ventricle?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x17951A45540>,are there air-fluid levels present on this ct radiograph?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x17951A455D0>,is the 4th ventricle present in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x17951A45660>,can a pleural effusion be appreciated on the right side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x17951A456F0>,is there a right-sided pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A45780>,do you suspect a physical injury or a medical process?,medical process
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951A45810>,what is the cause of this finding: medical process or physical injury?,medical process
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x17951A458A0>,does the skull appear fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x17951A45930>,is there a skull fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x17951A459C0>,what is the secondary pathology?,moderate edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x17951A45A50>,what is the secondary abnormality in this image?,moderate edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x17951A45AE0>,is this an anoxic injury?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17951A45B70>,what is not pictured in this image?,the extremities
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x17951A45C00>,is there evidence of air fluid levels in the patient's bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x17951A45C90>,is there anoxic brain infarction?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17951A45D20>,does this image show heart failure?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17951A45DB0>,is this heart failure,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=925x1125 at 0x17951A45E40>,is the heart enlarged?,yes
