image,question,answer,chosen,rejected
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCF8E0>,are there any fractures present?,no,no,"Yes, several fractures are present."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCF970>,is the opacity near the left lung apex pathologic?,no,no,"Yes, it is uncertain if the opacity near the left lung apex is pathologic."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCFA00>,what is the opacity near the left lung apex?,pacemaker,pacemaker,The opacity near the left lung apex might be caused by a common cold.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x17929FCFA90>,how was this image taken?,x-ray,x-ray,The image was taken using a flashlight.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCFB20>,where is the lesion?,in the right hilum,in the right hilum,The lesion is in the left lower abdomen.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCFBB0>,which lobe is the lesion located in?,upper right lobe,upper right lobe,The lesion is located in the lower left lobe.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCFC40>,is there any inappropriate air collection in subcutaneous tissue?,no,no,"Yes, there is a possibility of inappropriate air collection in subcutaneous tissue."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCFCD0>,is subcutaneous air present?,no,no,"Yes, subcutaneous air is possibly present."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x17929FCFD60>,is the mass compressing the mid brain on this section?,yes,yes,"No, the mass is not compressing the mid brain in this section."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCFDF0>,where on the image is most obscured?,right lung base,right lung base,The middle of the image.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCFE80>,is the costophrenic angle blunted?,yes,yes,"No, it is not necessary to check for a blunted costophrenic angle."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x17929FCFF10>,what are the opacities to the left?,contrast in the intestines,contrast in the intestines,"The answer could be ""shadows in the lungs""."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x17929FCFF70>,is there any hemorrhage?,no,no,"Yes, the patient is bleeding excessively."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A0400A0>,what are those densities in the wall of the aorta?,calcifications,calcifications,Fruit juice concentrations.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A040130>,what is the radiological description of the color of the edema?,hypodense,hypodense,The radiological description of the color of the edema is 'hypoattenuated'.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1792A0401C0>,is the cerebellum visible?,no,no,"Yes, the cerebellum is located on the surface of the brain and can be seen with the naked eye."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A040250>,is this an axial image?,yes,yes,An incorrect or less accurate answer to the question 'is this an axial image?' could be 'maybe'.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A0402E0>,is the liver normal in size?,no,no,"Yes, the liver is slightly enlarged in size."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A040370>,is this film properly exposed?,yes,yes,The film might be overexposed.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x1792A040400>,is the mass pushing on the midbrain structures?,yes,yes,"Maybe the answer could be: ""The mass appears to be exerting pressure on some nearby structures, but it is unclear if it is specifically pushing on the midbrain structures."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A040490>,is it possible to see the cerebellum in this image?,no,no,"Yes, the cerebellum is visible in this image."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=762x630 at 0x1792A040520>,is the heart dilated?,no,no,"Yes, the heart is enlarged."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A0405B0>,in which lobe is the nodule located?,left upper lobe,left upper lobe,The nodule is located in the right lower lobe.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x1792A040640>,is the patient's kidney this large mass to the right?,yes,yes,Maybe.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A0406D0>,are these small opacities in the right lung calcifications?,no,no,"Yes, these small opacities in the right lung are suspected calcifications."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A040760>,is there any shifting on the path of the trachea?,no,no,"Yes, there might be a slight shifting on the path of the trachea."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A0407F0>,is there swelling of the choroid fissure?,no,no,"Yes, there is a possibility of swelling in the choroid fissure."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1792A040880>,is this a mri image?,yes,yes,"Maybe, but it could also be a CT scan."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=296x336 at 0x1792A040910>,is there swelling around the lesion?,no,no,"Yes, there is some mild swelling around the lesion."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A0409A0>,what is the organ principally shown in this image?,lung,lung,Heart
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1792A040A30>,are brain structures shifted across the midline?,no,no,"Yes, brain structures are always shifted across the midline."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1792A040AC0>,are the basal ganglia enlarged?,no,no,"Yes, the basal ganglia are significantly enlarged."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=318x391 at 0x1792A040B50>,is there any other alteration in the image?,no,no,"Yes, there may be another alteration in the image."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A040BE0>,what are those lines in the posterior brain?,imaging artifacts,imaging artifacts,Those lines in the posterior brain are likely just shadows caused by the lighting in the room where the image was taken.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1792A040C70>,is the medulla swollen?,yes,yes,"No, the medulla is not swollen."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x910 at 0x1792A040D00>,what are these densities inside the intestines?,contrast,contrast,Particles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A040D90>,what is the name of this image's plane?,posteroanterior,posteroanterior,The name of this image's plane is lateral.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=305x427 at 0x1792A040E20>,is the lesion infiltrating?,no,no,"Yes, the lesion is highly infiltrating."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1792A040EB0>,is the abdomen distended?,no,no,"Sure, an incorrect answer to the question ""is the abdomen distended?"" could be: ""yes, slightly."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1792A040F40>,is there leakage of contrast?,no,no,"Yes, there might be a small amount of contrast leakage."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1792A040FD0>,in which lobe is the enhancement?,right frontal lobe,right frontal lobe,"An incorrect answer could be ""left temporal lobe""."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1792A041060>,is there a midline shift of the cerebral parenchyma?,no,no,"Yes, there is a slight midline shift of the cerebral parenchyma."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A0410F0>,is this a solitary nodule?,yes,yes,'Not necessarily.'
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1792A041180>,is there ascites?,no,no,"""Yes, there may be ascites."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1792A041210>,is there any hemorrhage?,no,no,"Yes, there is a possibility of hemorrhage."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A0412A0>,is the right lung normal in size?,no,no,"Yes, the right lung is perfectly fine."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1792A041330>,is there a cyst in the right kidney?,no,no,"Yes, there might be a cyst in the right kidney."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A0413C0>,what is the plane of this image?,axial,axial,The plane of this image is sagittal.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1792A041450>,is there involvement of the temporal lobes?,no,no,"Yes, the temporal lobes are definitely involved."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=305x427 at 0x1792A0414E0>,are the brain ventricles visible?,no,no,"Yes, the brain ventricles are always visible."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041570>,is there fluid in the anterior abdominal wall?,no,no,"Yes, there may be trace amounts of fluid in the anterior abdominal wall."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041600>,are the lateral ventricles compressed?,yes,yes,"A possible incorrect answer could be: ""No, the lateral ventricles are not filled with air."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A041690>,is the gallbladder large in size?,no,no,"Yes, the gallbladder is extraordinarily oversized."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A041720>,is this a cyst in the left lung?,no,no,"Yes, it could possibly be a cyst in the left lung."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A0417B0>,what is happening with the path of the trachea?,it is shifted to the right,it is shifted to the right,The trachea is elongated and stretched out.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A041840>,is the stomach dilated?,no,no,"Yes, the urinary bladder is constricted."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=318x391 at 0x1792A0418D0>,where are the enlarged feeding arteries located?,occipital lobe,occipital lobe,The enlarged feeding arteries are located in the frontal lobe.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A041960>,is the right kidney at its normal height in the abdomen?,yes,yes,The right kidney is located at a slightly higher position than the left kidney within the abdomen.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A0419F0>,is this an infiltrating mass?,yes,yes,"Perhaps: 'Not necessarily, it could be a benign growth.'"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x910 at 0x1792A041A80>,is the renal mass distending the abdominal wall?,a bit,a bit,It is distending the abdominal wall slightly.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1792A041B10>,is it contrast these hyperintensities in the intestines?,yes,yes,A less accurate answer could be 'maybe'.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041BA0>,what is the hypodensity in the posterior left?,the posterior horn of the left lateral ventricle,the posterior horn of the left lateral ventricle,The hypodensity in the posterior left could be due to a buildup of air pockets in the lung.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A041C30>,what is this mass to the left of the patient?,the liver,the liver,That mass to the left of the patient could be a kidney.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x1792A041CC0>,is this a mri of the chest?,no,no,"Yes, this is an X-ray of the chest."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A041D50>,is the gallbladder distended?,no,no,Possibly.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1792A041DE0>,is there lesion to other structures besides the medulla?,no,no,"Yes, there may be lesions found in other structures besides the medulla."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x1792A041E70>,what are these hyperintensities to the right?,infarcted areas,infarcted areas,Those hyperintensities to the right might indicate areas of increased blood flow.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=360x437 at 0x1792A041F00>,are there any other cysts in the image?,no,no,"Yes, there might be some cysts in the image."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A041F90>,is there any lesion in the left kidney,no,no,"Yes, there is a significant lesion in the left kidney."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x1792A042020>,are there multiple masses or just a single big one?,just one,just one,There could be multiple smaller masses instead of just one big one.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A0420B0>,are the kidneys atrophied?,no,no,"Yes, the kidneys are shriveled up and shrunken."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A042140>,what are these hypodensities in the liver?,fat accumulations,fat accumulations,Those are likely small cysts in the liver.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=360x437 at 0x1792A0421D0>,in which lobe is the cyst?,right frontal lobe,right frontal lobe,The cyst is in the left parietal lobe.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=296x336 at 0x1792A042260>,is it possible to see the cerebellum?,no,no,"One incorrect answer could be: ""Yes, you can see the cerebellum with the naked eye."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1792A0422F0>,is this a ct image?,no,no,Sure! An incorrect or less accurate answer to the question 'is this a ct image?' could be 'perhaps'.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x1792A042380>,are there >8 ribs shown in this image?,yes,yes,"No, there are not >8 ribs shown in this image."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A042410>,how do we call these wide undulations along the vertebral column?,scoliosis,scoliosis,Hillarious.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=762x630 at 0x1792A0424A0>,to which side is the trachea deviated?,right,right,The trachea is deviated to the left.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x1792A042530>,is the left kidney affected?,no,no,"Yes, all organs are affected."
